,Questions,Category0,Category1,Category2
403,What is the longest-running television series ?,ENTITY,ENTY,cremat
404,What predators exist on Antarctica ?,ENTITY,ENTY,animal
405,What is the difference between a generator and an alternator ?,DESCRIPTION,DESC,desc
406,How is energy created ?,DESCRIPTION,DESC,manner
407,What beer advertised that it had `` three rings '' ?,ENTITY,ENTY,food
408,What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,NUMERIC,NUM,other
409,What golfing accessory was patented by George Grant on December 12,ENTITY,ENTY,techmeth
410,What are the different types of plastic ?,ENTITY,ENTY,other
411,How is it correct to say ` qigong ' ?,DESCRIPTION,DESC,manner
412,What was the highest mountain on earth before Mount Everest was discovered ?,LOCATION,LOC,mount
413,"Where was the Ligurian Republic , 1797-185 , ?",LOCATION,LOC,other
414,What country 's people are the top television watchers ?,LOCATION,LOC,country
415,When was the women 's suffrage amendment ratified ?,NUMERIC,NUM,date
416,What Polynesian people inhabit New Zealand ?,HUMAN,HUM,gr
417,What movie tour of the Roman empire features the admonition : `` Row well and live '' ?,ENTITY,ENTY,cremat
418,What Nevada center has been dubbed The Biggest Little City in the World ?,LOCATION,LOC,city
419,"What President lived at 219 North Delaware Street , Independence , Missouri ?",HUMAN,HUM,ind
420,Give a reason for American Indians oftentimes dropping out of school .,DESCRIPTION,DESC,reason
421,Where must a soccer goalie stand to be permitted to handle the ball ?,LOCATION,LOC,other
422,What is the difference between classical conditioning and operant conditioning ?,DESCRIPTION,DESC,desc
423,In what U.S. state was the first woman governor elected ?,LOCATION,LOC,state
424,What are some interesting facts and information about dogsledding ?,DESCRIPTION,DESC,desc
425,What year did Hitler die ?,NUMERIC,NUM,date
426,What famous model was married to Billy Joel ?,HUMAN,HUM,ind
427,What kind of animal is Babar ?,ENTITY,ENTY,animal
428,What is Jane Goodall known for ?,DESCRIPTION,DESC,reason
429,What killed Bob Marley ?,ENTITY,ENTY,other
430,How much money are Dumbo 's ears insured for ?,NUMERIC,NUM,money
431,Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?,HUMAN,HUM,ind
432,Who is Stein Eriksen ?,HUMAN,HUM,desc
433,What does the name Billie mean ?,DESCRIPTION,DESC,def
434,Who is the fastest swimmer in the world ?,HUMAN,HUM,ind
435,What is the highest peak in Africa ?,LOCATION,LOC,mount
436,Where is Procter &amp; Gamble headquartered in the U.S. ?,LOCATION,LOC,other
437,What desert has been called The Garden of Allah ?,LOCATION,LOC,other
438,What do bicornate animals have two of ?,ENTITY,ENTY,other
439,What function does a community 's water tower serve ?,DESCRIPTION,DESC,reason
440,What is a fear of weakness ?,ENTITY,ENTY,dismed
441,How many miles is it to Ohio from North Carolina ?,NUMERIC,NUM,count
442,How much snow equals an inch of rain ?,NUMERIC,NUM,count
443,What does G.M.T. stand for ?,ABBREVIATION,ABBR,exp
444,What does Inuit and Eskimo mean ?,DESCRIPTION,DESC,def
445,What song served as the closing theme of The Johnny Cash Show ?,ENTITY,ENTY,cremat
446,What field sport did dentist William Beers promote and write a standard book of rules for ?,ENTITY,ENTY,sport
447,How do I tie dye clothes ?,DESCRIPTION,DESC,manner
448,When does the average teenager first have intercourse ?,NUMERIC,NUM,date
449,Why doesn 't www.answers.com have any answers to my questions ?,DESCRIPTION,DESC,reason
450,What actor 's autobiography is titled All My Yesterdays ?,HUMAN,HUM,ind
451,What Russian master spy lived in the U.S. under the name Emil Goldfus ?,HUMAN,HUM,ind
452,Where 's the 19th hole on a golf course ?,LOCATION,LOC,other
453,What 's nature 's purpose for tornadoes ?,DESCRIPTION,DESC,reason
454,Who played the original Charlie 's Angels ?,HUMAN,HUM,ind
455,Where can I find a person 's address from a telephone number ?,LOCATION,LOC,other
456,"What English word comes from the Old French covrefeu , meaning cover fire ?",ENTITY,ENTY,word
457,What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,ENTITY,ENTY,instru
458,Where did Sarge Steel get his metal hand ?,LOCATION,LOC,other
459,What makes popcorn pop ?,DESCRIPTION,DESC,reason
460,Who wrote The Night of the Iguana ?,HUMAN,HUM,ind
461,Where does your hair grow the fastest ?,ENTITY,ENTY,body
462,What country did King Gustav V reign over from 197 to 195 ?,LOCATION,LOC,country
463,Who painted Mother and Child ?,HUMAN,HUM,ind
464,What is the speed of the Mississippi River ?,NUMERIC,NUM,speed
465,In what area of the world was the Six Day War fought ?,LOCATION,LOC,other
466,What is the brightest star visible from Earth ?,LOCATION,LOC,other
467,What film marked Robert Redford 's directorial debut ?,ENTITY,ENTY,cremat
468,What was Mao 's second name ?,HUMAN,HUM,ind
469,What film or films has Jude Law appeared in ?,ENTITY,ENTY,cremat
470,Where do hyenas live ?,LOCATION,LOC,other
471,Who is the `` Queen Mother '' ?,HUMAN,HUM,desc
472,What 's the most commonly-spoken language in Belgium ?,ENTITY,ENTY,lang
473,Who has more DNA - a man or a woman ?,HUMAN,HUM,ind
474,What are Maid-Rites ?,DESCRIPTION,DESC,def
475,"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?",ENTITY,ENTY,cremat
476,What level of government or governmental agency is responsible for dealing with racism ?,HUMAN,HUM,gr
477,How many referees work a soccer game ?,NUMERIC,NUM,count
478,What cocktail do you concoct with whisky and sweet vermouth ?,ENTITY,ENTY,food
479,How do you say `` fresh '' in Spanish ?,ENTITY,ENTY,termeq
480,What do bee hives do in cranberry bogs ?,DESCRIPTION,DESC,desc
481,What caused the Lynmouth floods ?,DESCRIPTION,DESC,reason
482,When is the Tulip Festival in Michigan ?,NUMERIC,NUM,date
483,"Who came up with the name , El Nino ?",HUMAN,HUM,ind
484,What movie did Madilyn Kahn star in with Gene Wilder ?,ENTITY,ENTY,cremat
485,What type of bridge is the Golden Gate Bridge ?,ENTITY,ENTY,other
486,What dictator has the nickname `` El Maximo '' ?,HUMAN,HUM,ind
487,What stereo manufacturer is `` Slightly ahead of its time '' ?,HUMAN,HUM,gr
488,What U.S. city is The Queen of the Pacific ?,LOCATION,LOC,city
489,What TV sitcom character had the maiden name Ethel Potter ?,HUMAN,HUM,ind
490,What was the first Lifesaver flavor ?,ENTITY,ENTY,food
491,Who kept the most famous diary in the English language ?,HUMAN,HUM,ind
492,Where can I find out the top 1 singles ?,LOCATION,LOC,other
493,How many degrees cooler is the inside of a cucumber than the air outside ?,NUMERIC,NUM,count
494,What Spanish artist painted Crucifixion ?,HUMAN,HUM,ind
495,What is the Jewish bible called ?,ENTITY,ENTY,cremat
496,Why is the grass green ?,DESCRIPTION,DESC,reason
497,What is a firewall ?,DESCRIPTION,DESC,def
498,What spy novelist served as Moscow correspondent for Reuter and The Times of London ?,HUMAN,HUM,ind
499,Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?,HUMAN,HUM,gr
500,How long does it take for Spider-Man 's web to evaporate ?,NUMERIC,NUM,period
501,Who was Randy Steven Craft 's lawyer ?,HUMAN,HUM,ind
502,What was known as the Spice Island ?,LOCATION,LOC,other
503,Who was the first host of Person to Person ?,HUMAN,HUM,ind
504,Name the Ranger who was always after Yogi Bear .,HUMAN,HUM,ind
505,"What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?",ENTITY,ENTY,other
506,What does the Statue of Liberty wear on her feet ?,ENTITY,ENTY,other
507,Who is the superstar in rent-a-cars ?,HUMAN,HUM,ind
508,McCarren Airport is located in what city ?,LOCATION,LOC,city
509,"What household facility contains a float ball , ballcock , and overflow tube ?",ENTITY,ENTY,other
510,What was the name of Betty Boop 's dog ?,ENTITY,ENTY,animal
511,What fraction of a beaver 's life is spent swimming ?,NUMERIC,NUM,perc
512,What was the Bridge of San Luis Rey made of ?,ENTITY,ENTY,substance
513,What do economists do ?,DESCRIPTION,DESC,desc
514,What country has the largest sheep population ?,LOCATION,LOC,country
515,"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?",DESCRIPTION,DESC,desc
516,What country is the world 's largest importer of cognac ?,LOCATION,LOC,country
517,How many years is Johnnie Walker Black Label aged ?,NUMERIC,NUM,count
518,What does SIDS stand for ?,ABBREVIATION,ABBR,exp
519,What is Grenada 's main commodity export ?,ENTITY,ENTY,other
520,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?",NUMERIC,NUM,money
521,What makes a clitoris sensitive ?,DESCRIPTION,DESC,reason
522,"What country has the most time zones , with 11 ?",LOCATION,LOC,country
523,What `` magic '' does Mandrake employ ?,ENTITY,ENTY,other
524,Who is the president of Stanford University ?,HUMAN,HUM,ind
525,Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?,HUMAN,HUM,ind
526,"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?",ENTITY,ENTY,other
527,What city is Logan Airport in ?,LOCATION,LOC,city
528,What is a nanometer ?,DESCRIPTION,DESC,def
529,How many innings are there in a regulation softball game ?,NUMERIC,NUM,count
530,When did CNN go on the air ?,NUMERIC,NUM,date
531,What is the largest city on the Great Lakes ?,LOCATION,LOC,city
532,What is the telephone number for the University of Kentucky ?,NUMERIC,NUM,code
533,Who invented baseball ?,HUMAN,HUM,ind
534,How many wives did Brigham Young have ?,NUMERIC,NUM,count
535,What product on the market is good for hiding facial scars ?,ENTITY,ENTY,product
536,How long is the Coney Island boardwalk ?,NUMERIC,NUM,dist
537,What city gained renown for its pea-soup fogs ?,LOCATION,LOC,city
538,What does `` Janelle '' mean ?,DESCRIPTION,DESC,def
539,How do I get another city 's newspaper ?,DESCRIPTION,DESC,manner
540,Name a movie about the Sioux Indians starring Kevin Costner .,ENTITY,ENTY,cremat
541,"Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?",HUMAN,HUM,ind
542,What are the distinct physical characterstics of the Arabian horse ?,DESCRIPTION,DESC,desc
543,What is a fear of thunder ?,ENTITY,ENTY,dismed
544,What animal has killed the most people ?,ENTITY,ENTY,animal
545,How many colleges are in Wyoming ?,NUMERIC,NUM,count
546,What Russian seaport has a name meaning `` Lord of the East '' ?,LOCATION,LOC,city
547,Where can stocks be traded on-line ?,LOCATION,LOC,other
548,When was the Battle of Hastings ?,NUMERIC,NUM,date
549,What kind of file has the extension .dbf ?,ENTITY,ENTY,other
550,When did Muhammad live ?,NUMERIC,NUM,date
551,"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?",ENTITY,ENTY,termeq
552,What is a wop ?,DESCRIPTION,DESC,def
553,Where do rocks come from ?,DESCRIPTION,DESC,desc
554,How do I stop background noise in a car stereo ?,DESCRIPTION,DESC,manner
555,Where do people mountain climb in Nepal ?,LOCATION,LOC,mount
556,What is the best college in the country ?,HUMAN,HUM,gr
557,What is viscosity ?,DESCRIPTION,DESC,def
558,What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?,ENTITY,ENTY,cremat
559,What are the Nordic nations ?,LOCATION,LOC,country
560,Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights ?,LOCATION,LOC,other
561,What U.S. state borders Illinois to the north ?,LOCATION,LOC,state
562,Name a film in which Jude Law acted .,ENTITY,ENTY,cremat
563,What is the temperature for baking Peachy Oat Muffins ?,NUMERIC,NUM,temp
564,What is a fear of bees ?,ENTITY,ENTY,dismed
565,What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?,ENTITY,ENTY,cremat
566,What is a green bog ?,DESCRIPTION,DESC,def
567,Where did the myth of Santa Claus originate ?,LOCATION,LOC,other
568,What does a chairbound basophobic fear ?,ENTITY,ENTY,other
569,What city is served by Logan International Airport ?,LOCATION,LOC,city
570,What wrestling star became `` The Incredible Hulk '' ?,HUMAN,HUM,ind
571,What attracts tourists to Reims ?,LOCATION,LOC,other
572,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?,ENTITY,ENTY,sport
573,What fastener did Whitcomb Judson patent in 1893 ?,ENTITY,ENTY,other
574,What 's an auberge in France ?,DESCRIPTION,DESC,def
575,Who was the star of the 1965 Broadway hit Golden Boy ?,HUMAN,HUM,ind
576,Where is Procter &amp; Gamble based in the U.S. ?,LOCATION,LOC,other
577,What army was founded by William Booth and his wife Catherine ?,HUMAN,HUM,gr
578,What does ribavirin consist of ?,ENTITY,ENTY,substance
579,Name the soft drink that is `` number one in the sun . '',ENTITY,ENTY,food
580,What is the web address of the list of e-mail addresses of members of the House of Representatives ?,LOCATION,LOC,other
581,What was her real name ?,HUMAN,HUM,ind
582,Why are the ears your center of balance ?,DESCRIPTION,DESC,reason
583,Who invented the toothbrush ?,HUMAN,HUM,ind
584,What was the name of that popular song the Creeps sang ?,ENTITY,ENTY,cremat
585,Where is the Abominable Snowman said to wander ?,LOCATION,LOC,other
586,What is a fear of being alone ?,ENTITY,ENTY,dismed
587,How many dots make up the symbol for `` because '' ?,NUMERIC,NUM,count
588,What do you get by adding Lactobacillus bulgaricus to milk ?,ENTITY,ENTY,food
589,"When reading classified ads , what does EENTY : other stand for ?",ABBREVIATION,ABBR,exp
590,How many hearts does an octopus have ?,NUMERIC,NUM,count
591,What plant has the largest seed ?,ENTITY,ENTY,plant
592,What was the only country you were allowed to drive into Israel from in 1979 ?,LOCATION,LOC,country
593,What 's approaching when a cyclist shouts : `` Oil '' ?,ENTITY,ENTY,other
594,"What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?",HUMAN,HUM,ind
595,What kind of sport is often associated with hooligans ?,ENTITY,ENTY,sport
596,What video game hero do some of his fans call Chomper ?,HUMAN,HUM,ind
597,How many holes are there in a tenpin bowling ball ?,NUMERIC,NUM,count
598,What is the longest word in the English language ?,ENTITY,ENTY,word
599,In What city or state do the most gay men live in ?,LOCATION,LOC,other
600,"What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?",HUMAN,HUM,ind
601,What is `` the bear of beers '' ?,ENTITY,ENTY,animal
602,Name the operating system that runs on IBM-compatible machines .,ENTITY,ENTY,other
603,What does the name `` Justin '' mean ?,DESCRIPTION,DESC,def
604,What percentage of the body is muscle ?,NUMERIC,NUM,perc
605,What color of dry wine should be served with veal roasts and chops ?,ENTITY,ENTY,color
606,What is a golf ball made of ?,ENTITY,ENTY,substance
607,What is the Amish religion ?,DESCRIPTION,DESC,def
608,What does an average daycare provider get paid in New England ?,NUMERIC,NUM,money
609,What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?,HUMAN,HUM,gr
610,Who played the Ringo Kid in the 1939 film Stagecoach ?,HUMAN,HUM,ind
611,Who died 1 feet from where John F. Kennedy did ?,HUMAN,HUM,ind
612,What is the `` coppertop '' battery ?,DESCRIPTION,DESC,def
613,What sign is The Water Carrier the zodiacal symbol for ?,ENTITY,ENTY,symbol
614,What animals do you find in the stock market ?,ENTITY,ENTY,animal
615,What is color ?,DESCRIPTION,DESC,def
616,When is the site www.questions.com going to open ?,NUMERIC,NUM,date
617,What did Shostakovich write for Rostropovich ?,ENTITY,ENTY,cremat
618,What first name was Nipsy Russell given at birth ?,HUMAN,HUM,ind
619,How can I get some free technical information on Electric Vehicle ?,DESCRIPTION,DESC,manner
620,Who is the youngest of the Beatles ?,HUMAN,HUM,ind
621,How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?,DESCRIPTION,DESC,manner
